exception_id,exception_type,affected_entity,affected_record_key,expected_detection_rule,rationale
EXC-001,duplicate_invoice,invoices,INV-00005|INV-00005-DUP,invoice count per booking_id should be exactly one,Cloned an existing invoice and its lines under a new invoice_id for the same booking to simulate an accidental double-bill.
EXC-002,failed_payment,invoices,INV-00016,issued invoice with total_amount > 0 and no successful payment should surface as outstanding,Every payment attempt against this invoice failed; no successful payment exists.
EXC-003,unallocated_payment,payments,PMT-00001,payment.amount should not exceed its invoice.total_amount,"Payment amount was increased above the invoice total, leaving an unallocated excess."
EXC-004,incorrect_fare,invoice_lines,INL-00005,base_fare line amount should equal fare_class base_fare_usd + per_km_usd * route distance,Base fare amount overwritten to 208497.08 instead of the fare-class-derived 69493.36.
EXC-005,refund_greater_than_collected_amount,refunds,REF-00001,refund.amount should not exceed the amount collected on the linked payment,Refund amount was raised above the amount actually collected on the linked payment.
EXC-006,cancelled_flight_without_refund,flight_instances,FLT-00001,tickets on a cancelled flight_instance should have an associated refund or voucher,"Flight instance marked cancelled after ticketing; the associated booking/invoice/payment were deliberately left untouched, so no refund exists for the affected passengers."
EXC-007,late_arriving_payment,payments,PMT-00004,payment_datetime_utc should normally fall within a few days of invoice_date_utc,Payment timestamp shifted to 75 days after the invoice date to simulate a late-arriving payment.
EXC-008,missing_invoice_line,invoices,INV-00006,sum(invoice_lines.amount) for an invoice should reconcile to invoice.total_amount,"Removed tax line INL-00035 without adjusting the invoice header, so the header no longer reconciles to its lines."
EXC-009,completed_segment_without_recognised_revenue_precursor,ticket_segments,SEG-00009,a flown ticket_segment's ticket should have a base_fare invoice_line to recognise as revenue,Removed base_fare line INL-00034 for a ticket with a flown segment.
EXC-010,payment_without_invoice,payments,PMT-09001,payments.invoice_id should resolve to an existing invoices.invoice_id,"Appended a payment referencing invoice_id 'INV-99999', which does not exist in invoices.csv."
EXC-011,ancillary_sold_but_not_fulfilled,ancillary_services,ANC-00001,an ancillary sold against a flown ticket should ordinarily be fulfilled,Forced fulfilment_status to 'not_fulfilled' for an ancillary sold on an otherwise-flown ticket.
EXC-012,ancillary_fulfilled_but_not_billed,ancillary_services,ANC-00007,a fulfilled ancillary_service should have a matching invoice_line of line_type='ancillary',Removed the invoice_line for an ancillary_service already marked fulfilled.
EXC-013,currency_mismatch,payments,PMT-00007,payment.currency should equal the currency of its invoice,"Payment currency set to USD while its invoice remains EUR, with no recorded conversion."
EXC-014,invalid_adjustment,adjustments,ADJ-09001,adjustments.invoice_id should resolve to an existing invoice and amount should be plausible,Appended an adjustment referencing a non-existent invoice_id with an implausibly large amount.
